"pubtatot_term"	"db_term"	"db_equivalence"	"term_id"	"mesh_id"	"start_pos"	"end_pos"	"entity_type"	"entity_pmid"
"32"	"colorectal carcinoma"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	760	780	"cancer_type_entity_p"	"28114318"
"33"	"HCT-116"	"Colon Cancer"	"hct-116"	"494"	"D003110"	791	798	"cancer_type_entity_cell"	"28114318"
"34"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	854	859	"cancer_type_entity_p"	"28114318"
"35"	"p53"	"TP53"	"TP53"	"HGNC:11998"	"7157"	886	889	"gene_hgnc_entity"	"28114318"
"36"	"HCT-116"	"Colon Cancer"	"hct-116"	"494"	"D003110"	907	914	"cancer_type_entity_cell"	"28114318"
"37"	"2-[[(2-hydroxyphenyl)methylene]amino]-phenol"	"2-amino-5-methylphenol"	"2-amino-5-methylphenol"	"1883"	"C077618"	1010	1054	"chemical_entity_p"	"28114318"
"38"	"cyclooxygenase-2"	"PTGS2"	"PTGS2"	"HGNC:9605"	"5743"	1093	1109	"gene_hgnc_entity"	"28114318"
"39"	"HCT-116"	"Colon Cancer"	"hct-116"	"494"	"D003110"	1276	1283	"cancer_type_entity_cell"	"28114318"
"40"	"p53"	"TP53"	"TP53"	"HGNC:11998"	"7157"	1592	1595	"gene_hgnc_entity"	"28114318"
"41"	"cyclooxygenase-2"	"PTGS2"	"PTGS2"	"HGNC:9605"	"5743"	1784	1800	"gene_hgnc_entity"	"28114318"
"42"	"HCT-116"	"Colon Cancer"	"hct-116"	"494"	"D003110"	1925	1932	"cancer_type_entity_cell"	"28114318"
"43"	"cyclooxygenase-2"	"PTGS2"	"PTGS2"	"HGNC:9605"	"5743"	1974	1990	"gene_hgnc_entity"	"28114318"
"44"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	54	64	"chemical_entity_p"	"9492340"
"45"	"breast and prostate cancer"	"Breast Cancer"	"Breast Cancer"	"484"	"D001943"	68	94	"cancer_type_entity_p"	"9492340"
"46"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	110	120	"chemical_entity_p"	"9492340"
"47"	"isoflavonoids"	"Rotenone"	"Rotenone"	"129"	"D012402"	125	138	"chemical_entity_p"	"9492340"
"48"	"T-47D breast cancer"	"Breast Cancer"	"Breast Cancer"	"484"	"D001943"	287	306	"cancer_type_entity_p"	"9492340"
"49"	"PC-3"	"Prostate Cancer"	"pc-3"	"527"	"D011471"	325	329	"cancer_type_entity_cell"	"9492340"
"50"	"prostate cancer"	"Prostate Cancer"	"Prostate Cancer"	"527"	"D011471"	330	345	"cancer_type_entity_p"	"9492340"
"51"	"Flavones"	"Flavones"	"flavones"	"113"	"D047309"	525	533	"chemical_entity_e"	"9492340"
"52"	"flavanones"	"Flavanones"	"Flavanones"	"111"	"D044950"	535	545	"chemical_entity_p"	"9492340"
"53"	"isoflavones"	"Isoflavones"	"Isoflavones"	"125"	"D007529"	551	562	"chemical_entity_p"	"9492340"
"54"	"T-47D"	"Ductal Carcinoma"	"t-47d"	"3232"	"D002285"	696	701	"cancer_type_entity_cell"	"9492340"
"55"	"flavones"	"Flavones"	"flavones"	"113"	"D047309"	751	759	"chemical_entity_e"	"9492340"
"56"	"PC-3"	"Prostate Cancer"	"pc-3"	"527"	"D011471"	903	907	"cancer_type_entity_cell"	"9492340"
"57"	"flavanone"	"Flavanones"	"Flavanones"	"111"	"D044950"	925	934	"chemical_entity_p"	"9492340"
"58"	"flavones"	"Flavones"	"flavones"	"113"	"D047309"	990	998	"chemical_entity_e"	"9492340"
"59"	"flavones"	"Flavones"	"flavones"	"113"	"D047309"	1065	1073	"chemical_entity_e"	"9492340"
"60"	"isoflavones"	"Isoflavones"	"Isoflavones"	"125"	"D007529"	1078	1089	"chemical_entity_p"	"9492340"
"61"	"T-47D"	"Ductal Carcinoma"	"t-47d"	"3232"	"D002285"	1156	1161	"cancer_type_entity_cell"	"9492340"
"62"	"flavones"	"Flavones"	"flavones"	"113"	"D047309"	1218	1226	"chemical_entity_e"	"9492340"
"63"	"flavonol"	"Flavonols"	"Flavonols"	"120"	"D044948"	1228	1236	"chemical_entity_p"	"9492340"
"64"	"PC-3"	"Prostate Cancer"	"pc-3"	"527"	"D011471"	1301	1305	"cancer_type_entity_cell"	"9492340"
"65"	"T-47D"	"Ductal Carcinoma"	"t-47d"	"3232"	"D002285"	1527	1532	"cancer_type_entity_cell"	"9492340"
"66"	"PC-3"	"Prostate Cancer"	"pc-3"	"527"	"D011471"	1537	1541	"cancer_type_entity_cell"	"9492340"
"67"	"isoflavones"	"Isoflavones"	"Isoflavones"	"125"	"D007529"	1791	1802	"chemical_entity_p"	"9492340"
"68"	"flavones"	"Flavones"	"flavones"	"113"	"D047309"	1878	1886	"chemical_entity_e"	"9492340"
"69"	"apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	2001	2009	"chemical_entity_p"	"9492340"
"70"	"coumestrol"	"Coumestrol"	"Coumestrol"	"126"	"D003375"	2011	2021	"chemical_entity_p"	"9492340"
"71"	"genistein"	"Genistein"	"Genistein"	"127"	"D019833"	2027	2036	"chemical_entity_p"	"9492340"
"72"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	228	233	"cancer_type_entity_p"	"10753210"
"73"	"hprt"	"HPRT1"	"HPRT1"	"HGNC:5157"	"3251"	1332	1336	"gene_hgnc_entity"	"10753210"
"74"	"alpha-naphthoflavone"	"alpha-naphthoflavone"	"alpha-naphthoflavone"	"5578"	"C011512"	1677	1697	"chemical_entity_p"	"10753210"
"75"	"carcinogenic"	"carcinogenic"	"carcinogenic"	"D063646"	"D063646"	2159	2171	"hallmark"	"10753210"
"76"	"Acacetin"	"acacetin"	"acacetin"	"6461"	"C023717"	0	8	"chemical_entity_p"	"15637089"
"77"	"prostate cancer"	"Prostate Cancer"	"Prostate Cancer"	"527"	"D011471"	89	104	"cancer_type_entity_p"	"15637089"
"78"	"acacetin"	"acacetin"	"acacetin"	"6461"	"C023717"	281	289	"chemical_entity_p"	"15637089"
"79"	"flavonoid"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	300	309	"chemical_entity_p"	"15637089"
"80"	"flavone"	"Flavones"	"flavone"	"113"	"D047309"	334	341	"chemical_entity_e"	"15637089"
"81"	"prostate cancer"	"Prostate Cancer"	"Prostate Cancer"	"527"	"D011471"	399	414	"cancer_type_entity_p"	"15637089"
"82"	"PCA"	"Prostate Cancer"	"Prostate Cancer"	"527"	"D011471"	416	419	"cancer_type_entity_p"	"15637089"
"83"	"Cip1"	"CDKN1A"	"CDKN1A"	"HGNC:1784"	"1026"	1305	1309	"gene_hgnc_entity"	"15637089"
"84"	"p21"	"CDKN1A"	"CDKN1A"	"HGNC:1784"	"1026"	1310	1313	"gene_hgnc_entity"	"15637089"
"85"	"CDK2"	"CDK2"	"CDK2"	"HGNC:1771"	"1017"	1332	1336	"gene_hgnc_entity"	"15637089"
"86"	"CDK4"	"CDK4"	"CDK4"	"HGNC:1773"	"1019"	1338	1342	"gene_hgnc_entity"	"15637089"
"87"	"CDK6"	"CDK6"	"CDK6"	"HGNC:1777"	"1021"	1347	1351	"gene_hgnc_entity"	"15637089"
"88"	"Cdc25C"	"CDC25C"	"CDC25C"	"HGNC:1727"	"995"	1414	1420	"gene_hgnc_entity"	"15637089"
"89"	"Cdc2"	"CDK1"	"CDK1"	"HGNC:1722"	"983"	1422	1426	"gene_hgnc_entity"	"15637089"
"90"	"p34"	"AAGAB"	"AAGAB"	"HGNC:25662"	"79719"	1427	1430	"gene_hgnc_entity"	"15637089"
"91"	"cyclin B1"	"CCNB1"	"CCNB1"	"HGNC:1579"	"891"	1435	1444	"gene_hgnc_entity"	"15637089"
"92"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	1743	1753	"chemical_entity_p"	"15637089"
"93"	"flavone"	"Flavones"	"flavone"	"113"	"D047309"	1785	1792	"chemical_entity_e"	"15637089"
"94"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	2033	2043	"chemical_entity_p"	"15637089"
"95"	"PCA"	"Prostate Cancer"	"Prostate Cancer"	"527"	"D011471"	2058	2061	"cancer_type_entity_p"	"15637089"
"96"	"leukemia"	"Leukemia"	"Leukemia"	"559"	"D007938"	40	48	"cancer_type_entity_p"	"29407975"
"97"	"Acute lymphoblastic leukemia"	"Acute Lymphoblastic Leukemia"	"Acute Lymphoblastic Leukemia"	"560"	"D054198"	50	78	"cancer_type_entity_p"	"29407975"
"98"	"leukemia"	"Leukemia"	"Leukemia"	"559"	"D007938"	112	120	"cancer_type_entity_p"	"29407975"
"99"	"flavonoid"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	380	389	"chemical_entity_p"	"29407975"
"100"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	1321	1327	"cancer_type_entity_p"	"29407975"
"101"	"Quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	0	9	"chemical_entity_p"	"28881718"
"102"	"PDCD4"	"PDCD4"	"PDCD4"	"HGNC:8763"	"27250"	84	89	"gene_hgnc_entity"	"28881718"
"103"	"lung cancer"	"Lung Cancer"	"Lung Cancer"	"8865"	"D008175"	210	221	"cancer_type_entity_p"	"28881718"
"104"	"Quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	313	322	"chemical_entity_p"	"28881718"
"105"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	359	369	"chemical_entity_p"	"28881718"
"106"	"cancers"	"Cancers"	"Cancers"	"10007"	"D009369"	558	565	"cancer_type_entity_p"	"28881718"
"107"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	618	623	"cancer_type_entity_p"	"28881718"
"108"	"programmed cell death 4"	"PDCD4"	"PDCD4"	"HGNC:8763"	"27250"	640	663	"gene_hgnc_entity"	"28881718"
"109"	"PDCD4"	"PDCD4"	"PDCD4"	"HGNC:8763"	"27250"	665	670	"gene_hgnc_entity"	"28881718"
"110"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	714	723	"chemical_entity_p"	"28881718"
"111"	"PDCD4"	"PDCD4"	"PDCD4"	"HGNC:8763"	"27250"	813	818	"gene_hgnc_entity"	"28881718"
"112"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	863	872	"chemical_entity_p"	"28881718"
"113"	"PDCD4"	"PDCD4"	"PDCD4"	"HGNC:8763"	"27250"	1059	1064	"gene_hgnc_entity"	"28881718"
"114"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	1121	1130	"chemical_entity_p"	"28881718"
"115"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	1246	1255	"chemical_entity_p"	"28881718"
"116"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	1271	1276	"cancer_type_entity_p"	"28881718"
"117"	"PDCD4"	"PDCD4"	"PDCD4"	"HGNC:8763"	"27250"	1376	1381	"gene_hgnc_entity"	"28881718"
"118"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	1528	1537	"chemical_entity_p"	"28881718"
"119"	"PDCD4"	"PDCD4"	"PDCD4"	"HGNC:8763"	"27250"	1626	1631	"gene_hgnc_entity"	"28881718"
"120"	"aspirin"	"Aspirin"	"Aspirin"	"49"	"D001241"	96	103	"chemical_entity_p"	"19724920"
"121"	"aspirin"	"Aspirin"	"Aspirin"	"49"	"D001241"	201	208	"chemical_entity_p"	"19724920"
"122"	"NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	210	216	"chemical_entity_p"	"19724920"
"123"	"colon cancer"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	232	244	"cancer_type_entity_p"	"19724920"
"124"	"NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	455	461	"chemical_entity_p"	"19724920"
"125"	"NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	483	489	"chemical_entity_p"	"19724920"
"126"	"NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	677	683	"chemical_entity_p"	"19724920"
"127"	"NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	717	723	"chemical_entity_p"	"19724920"
"128"	"m-NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	754	762	"chemical_entity_p"	"19724920"
"129"	"ERK1/2"	"erk1/2"	"erk1/2"	"9282"	"108478"	769	775	"gene_entity"	"19724920"
"130"	"Akt"	"AKT1"	"AKT1"	"HGNC:391"	"207"	780	783	"gene_hgnc_entity"	"19724920"
"131"	"p-NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	801	809	"chemical_entity_p"	"19724920"
"132"	"JNK1/2"	"jnk1/2"	"jnk1/2"	"9288"	"108480"	816	822	"gene_entity"	"19724920"
"133"	"p38"	"MAPK1"	"MAPK1"	"HGNC:6871"	"5594"	844	847	"gene_hgnc_entity"	"19724920"
"134"	"p-NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	854	862	"chemical_entity_p"	"19724920"
"135"	"ATF-2"	"ATF2"	"ATF2"	"HGNC:784"	"1386"	905	910	"gene_hgnc_entity"	"19724920"
"136"	"NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	935	941	"chemical_entity_p"	"19724920"
"137"	"c-Jun"	"JUN"	"JUN"	"HGNC:6204"	"3725"	946	951	"gene_hgnc_entity"	"19724920"
"138"	"p-NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	955	963	"chemical_entity_p"	"19724920"
"139"	"p-NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	1092	1100	"chemical_entity_p"	"19724920"
"140"	"NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	1125	1131	"chemical_entity_p"	"19724920"
"141"	"NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	1148	1154	"chemical_entity_p"	"19724920"
"142"	"p21"	"p21"	"p21"	"2806"	"15718"	1193	1196	"gene_entity"	"19724920"
"143"	"NO-ASA"	"Aspirin"	"Aspirin"	"49"	"D001241"	1206	1212	"chemical_entity_p"	"19724920"
"144"	"p21"	"p21"	"p21"	"2806"	"15718"	1297	1300	"gene_entity"	"19724920"
"145"	"Phenoxodiol"	"phenoxodiol"	"phenoxodiol"	"6625"	"C471183"	0	11	"chemical_entity_p"	"24902539"
"146"	"gallbladder cancer"	"Gallbladder Cancer"	"Gallbladder Cancer"	"499"	"D005706"	62	80	"cancer_type_entity_p"	"24902539"
"147"	"Akt"	"AKT1"	"AKT1"	"HGNC:391"	"207"	101	104	"gene_hgnc_entity"	"24902539"
"148"	"mTOR"	"MTOR"	"MTOR"	"HGNC:3942"	"2475"	105	109	"gene_hgnc_entity"	"24902539"
"149"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	131	137	"cancer_type_entity_p"	"24902539"
"150"	"aggressive type of biliary tract cancer"	"Biliary Tract Neoplasms"	"Biliary Tract Neoplasms"	"2636"	"D001661"	161	200	"cancer_type_entity_p"	"24902539"
"151"	"gallbladder cancer"	"Gallbladder Cancer"	"Gallbladder Cancer"	"499"	"D005706"	400	418	"cancer_type_entity_p"	"24902539"
"152"	"Phenoxodiol"	"phenoxodiol"	"phenoxodiol"	"6625"	"C471183"	468	479	"chemical_entity_p"	"24902539"
"153"	"isoflavone"	"Isoflavones"	"Isoflavones"	"125"	"D007529"	486	496	"chemical_entity_p"	"24902539"
"154"	"cancers"	"Cancers"	"Cancers"	"10007"	"D009369"	549	556	"cancer_type_entity_p"	"24902539"
"155"	"phenoxodiol"	"phenoxodiol"	"phenoxodiol"	"6625"	"C471183"	605	616	"chemical_entity_p"	"24902539"
"156"	"gallbladder cancer"	"Gallbladder Cancer"	"Gallbladder Cancer"	"499"	"D005706"	620	638	"cancer_type_entity_p"	"24902539"
"157"	"phenoxodiol"	"phenoxodiol"	"phenoxodiol"	"6625"	"C471183"	670	681	"chemical_entity_p"	"24902539"
"158"	"gallbladder cancer"	"Gallbladder Cancer"	"Gallbladder Cancer"	"499"	"D005706"	735	753	"cancer_type_entity_p"	"24902539"
"159"	"phenoxodiol"	"phenoxodiol"	"phenoxodiol"	"6625"	"C471183"	781	792	"chemical_entity_p"	"24902539"
"160"	"phenoxodiol"	"phenoxodiol"	"phenoxodiol"	"6625"	"C471183"	924	935	"chemical_entity_p"	"24902539"
"161"	"phenoxodiol"	"phenoxodiol"	"phenoxodiol"	"6625"	"C471183"	1000	1011	"chemical_entity_p"	"24902539"
"162"	"Akt"	"AKT1"	"AKT1"	"HGNC:391"	"207"	1064	1067	"gene_hgnc_entity"	"24902539"
"163"	"phenoxodiol"	"phenoxodiol"	"phenoxodiol"	"6625"	"C471183"	1218	1229	"chemical_entity_p"	"24902539"
"164"	"gallbladder cancer"	"Gallbladder Cancer"	"Gallbladder Cancer"	"499"	"D005706"	1249	1267	"cancer_type_entity_p"	"24902539"
"165"	"gallbladder cancer"	"Gallbladder Cancer"	"Gallbladder Cancer"	"499"	"D005706"	1297	1315	"cancer_type_entity_p"	"24902539"
"166"	"phenoxodiol"	"phenoxodiol"	"phenoxodiol"	"6625"	"C471183"	1363	1374	"chemical_entity_p"	"24902539"
"167"	"phenoxodiol"	"phenoxodiol"	"phenoxodiol"	"6625"	"C471183"	1503	1514	"chemical_entity_p"	"24902539"
"168"	"gallbladder cancer"	"Gallbladder Cancer"	"Gallbladder Cancer"	"499"	"D005706"	1590	1608	"cancer_type_entity_p"	"24902539"
"169"	"Acetylsalicylic acid"	"Aspirin"	"Aspirin"	"49"	"D001241"	0	20	"chemical_entity_p"	"18849138"
"170"	"MMP-2"	"mmp-2"	"mmp-2"	"9708"	"55259"	31	36	"gene_entity"	"18849138"
"171"	"melanoma"	"Melanoma"	"Melanoma"	"521"	"D008545"	95	103	"cancer_type_entity_p"	"18849138"
"172"	"acetylsalicylic acid"	"Aspirin"	"Aspirin"	"49"	"D001241"	202	222	"chemical_entity_p"	"18849138"
"173"	"colon cancers"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	263	276	"cancer_type_entity_p"	"18849138"
"174"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	382	387	"cancer_type_entity_p"	"18849138"
"175"	"acetylsalicylic acid"	"Aspirin"	"Aspirin"	"49"	"D001241"	520	540	"chemical_entity_p"	"18849138"
"176"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	584	590	"cancer_type_entity_p"	"18849138"
"177"	"acetylsalicylic acid"	"Aspirin"	"Aspirin"	"49"	"D001241"	632	652	"chemical_entity_p"	"18849138"
"178"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	675	681	"cancer_type_entity_p"	"18849138"
"179"	"acetylsalicylic acid"	"Aspirin"	"Aspirin"	"49"	"D001241"	733	753	"chemical_entity_p"	"18849138"
"180"	"MMP-2"	"mmp-2"	"mmp-2"	"9708"	"55259"	768	773	"gene_entity"	"18849138"
"181"	"melanoma"	"Melanoma"	"Melanoma"	"521"	"D008545"	792	800	"cancer_type_entity_p"	"18849138"
"182"	"acetylsalicylic acid"	"Aspirin"	"Aspirin"	"49"	"D001241"	856	876	"chemical_entity_p"	"18849138"
"183"	"Acetylsalicylic acid"	"Aspirin"	"Aspirin"	"49"	"D001241"	916	936	"chemical_entity_p"	"18849138"
"184"	"MMP-2"	"mmp-2"	"mmp-2"	"9708"	"55259"	1010	1015	"gene_entity"	"18849138"
"185"	"acetylsalicylic acid"	"Aspirin"	"Aspirin"	"49"	"D001241"	1086	1106	"chemical_entity_p"	"18849138"
"186"	"acetylsalicylic acid"	"Aspirin"	"Aspirin"	"49"	"D001241"	1165	1185	"chemical_entity_p"	"18849138"
"187"	"colorectal metastasis"	"Neoplasm Metastasis"	"Neoplasm Metastasis"	"10000"	"D009362"	1194	1215	"cancer_type_entity_p"	"18849138"
"188"	"acetylsalicylic acid"	"Aspirin"	"Aspirin"	"49"	"D001241"	1347	1367	"chemical_entity_p"	"18849138"
"189"	"PARP"	"parp"	"parp"	"11735"	"66371"	0	4	"gene_entity"	"29023372"
"190"	"Flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	19	29	"chemical_entity_p"	"29023372"
"191"	"BRCA2"	"brca2"	"brca2"	"1640"	"9662"	64	69	"gene_entity"	"29023372"
"192"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	115	125	"chemical_entity_p"	"29023372"
"193"	"reduction of cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	148	167	"cancer_type_entity_p"	"29023372"
"194"	"Quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	175	184	"chemical_entity_p"	"29023372"
"195"	"PARP"	"parp"	"parp"	"11735"	"66371"	209	213	"gene_entity"	"29023372"
"196"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	348	358	"chemical_entity_p"	"29023372"
"197"	"naringenin"	"naringenin"	"naringenin"	"6062"	"C005273"	367	377	"chemical_entity_p"	"29023372"
"198"	"hesperetin"	"hesperetin"	"hesperetin"	"6273"	"C013015"	379	389	"chemical_entity_p"	"29023372"
"199"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	439	448	"chemical_entity_p"	"29023372"
"200"	"PARP"	"parp"	"parp"	"11735"	"66371"	478	482	"gene_entity"	"29023372"
"201"	"BRCA2"	"brca2"	"brca2"	"1640"	"9662"	615	620	"gene_entity"	"29023372"
"202"	"naringenin"	"naringenin"	"naringenin"	"6062"	"C005273"	701	711	"chemical_entity_p"	"29023372"
"203"	"hesperetin"	"hesperetin"	"hesperetin"	"6273"	"C013015"	716	726	"chemical_entity_p"	"29023372"
"204"	"PARP"	"parp"	"parp"	"11735"	"66371"	737	741	"gene_entity"	"29023372"
"205"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	810	819	"chemical_entity_p"	"29023372"
"206"	"Hesperetin"	"hesperetin"	"hesperetin"	"6273"	"C013015"	821	831	"chemical_entity_p"	"29023372"
"207"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	869	878	"chemical_entity_p"	"29023372"
"208"	"naringenin"	"naringenin"	"naringenin"	"6062"	"C005273"	883	893	"chemical_entity_p"	"29023372"
"209"	"Quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	927	936	"chemical_entity_p"	"29023372"
"210"	"naringenin"	"naringenin"	"naringenin"	"6062"	"C005273"	941	951	"chemical_entity_p"	"29023372"
"211"	"hesperetin"	"hesperetin"	"hesperetin"	"6273"	"C013015"	1089	1099	"chemical_entity_p"	"29023372"
"212"	"Glycosyl flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	1140	1159	"chemical_entity_p"	"29023372"
"213"	"rutin"	"Rutin"	"Rutin"	"123"	"D012431"	1178	1183	"chemical_entity_p"	"29023372"
"214"	"naringin"	"naringin"	"naringin"	"6063"	"C005274"	1195	1203	"chemical_entity_p"	"29023372"
"215"	"hesperidin"	"Hesperidin"	"Hesperidin"	"112"	"D006569"	1260	1270	"chemical_entity_p"	"29023372"
"216"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	1307	1317	"chemical_entity_p"	"29023372"
"217"	"PARP"	"parp"	"parp"	"11735"	"66371"	1327	1331	"gene_entity"	"29023372"
"218"	"BRCA2"	"brca2"	"brca2"	"1640"	"9662"	1383	1388	"gene_entity"	"29023372"
"219"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	60	68	"chemical_entity_p"	"27482284"
"220"	"glioblastoma"	"Glioblastoma"	"Glioblastoma"	"603"	"D005909"	88	100	"cancer_type_entity_p"	"27482284"
