"pubtatot_term"	"db_term"	"db_equivalence"	"term_id"	"mesh_id"	"start_pos"	"end_pos"	"entity_type"	"entity_pmid"
"47"	"TNF-a"	"tnf-a"	"tnf-a"	"17028"	"96167"	1243	1248	"gene_entity"	"28376392"
"48"	"c-fos"	"c-fos"	"c-fos"	"5864"	"33348"	1251	1256	"gene_entity"	"28376392"
"49"	"c-jun"	"c-jun"	"c-jun"	"7972"	"45443"	1258	1263	"gene_entity"	"28376392"
"50"	"p65"	"p65"	"p65"	"13597"	"77172"	1272	1275	"gene_entity"	"28376392"
"51"	"caspase-3"	"caspase-3"	"caspase-3"	"2288"	"12726"	1281	1290	"gene_entity"	"28376392"
"52"	"bax"	"bax"	"bax"	"1434"	"8459"	1319	1322	"gene_entity"	"28376392"
"53"	"bcl-2"	"bcl-2"	"bcl-2"	"1470"	"8654"	1339	1344	"gene_entity"	"28376392"
"54"	"Nrf2"	"nrf2"	"nrf2"	"10532"	"60207"	1391	1395	"gene_entity"	"28376392"
"55"	"5-aminosalicylic acid"	"Mesalamine"	"Mesalamine"	"47"	"D019804"	0	21	"chemical_entity_p"	"17975166"
"56"	"colorectal cancer"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	146	163	"cancer_type_entity_p"	"17975166"
"57"	"5-aminosalicylic acid"	"Mesalamine"	"Mesalamine"	"47"	"D019804"	279	300	"chemical_entity_p"	"17975166"
"58"	"5-ASA"	"Mesalamine"	"Mesalamine"	"47"	"D019804"	302	307	"chemical_entity_p"	"17975166"
"59"	"colitic inflammation"	"colitic inflammation"	"colitic inflammation"	"D007249"	"D007249"	363	383	"hallmark"	"17975166"
"60"	"5-ASA"	"Mesalamine"	"Mesalamine"	"47"	"D019804"	457	462	"chemical_entity_p"	"17975166"
"61"	"colitis-associated cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	513	538	"cancer_type_entity_p"	"17975166"
"62"	"PPARgamma"	"ppargamma"	"ppargamma"	"12582"	"71367"	663	672	"gene_entity"	"17975166"
"63"	"5-ASA"	"Mesalamine"	"Mesalamine"	"47"	"D019804"	686	691	"chemical_entity_p"	"17975166"
"64"	"colitis-associated colon carcinogenesis"	"colitis-associated colon carcinogenesis"	"colitis-associated colon carcinogenesis"	"D063646"	"D063646"	695	734	"hallmark"	"17975166"
"65"	"colon cancer"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	826	838	"cancer_type_entity_p"	"17975166"
"66"	"5-ASA"	"Mesalamine"	"Mesalamine"	"47"	"D019804"	890	895	"chemical_entity_p"	"17975166"
"67"	"PPARgamma"	"ppargamma"	"ppargamma"	"12582"	"71367"	900	909	"gene_entity"	"17975166"
"68"	"colon carcinogenesis"	"colon carcinogenesis"	"colon carcinogenesis"	"D063646"	"D063646"	984	1004	"hallmark"	"17975166"
"69"	"neoplasms"	"Cancers"	"Cancers"	"10007"	"D009369"	1045	1054	"cancer_type_entity_p"	"17975166"
"70"	"5-ASA"	"Mesalamine"	"Mesalamine"	"47"	"D019804"	1080	1085	"chemical_entity_p"	"17975166"
"71"	"neoplasms"	"Cancers"	"Cancers"	"10007"	"D009369"	1170	1179	"cancer_type_entity_p"	"17975166"
"72"	"tumors"	"Cancers"	"Cancers"	"10007"	"D009369"	1327	1333	"cancer_type_entity_p"	"17975166"
"73"	"PPARgamma"	"ppargamma"	"ppargamma"	"12582"	"71367"	1372	1381	"gene_entity"	"17975166"
"74"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	1452	1457	"cancer_type_entity_p"	"17975166"
"75"	"5-ASA"	"Mesalamine"	"Mesalamine"	"47"	"D019804"	1471	1476	"chemical_entity_p"	"17975166"
"76"	"5-ASA"	"Mesalamine"	"Mesalamine"	"47"	"D019804"	1558	1563	"chemical_entity_p"	"17975166"
"77"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	1572	1577	"cancer_type_entity_p"	"17975166"
"78"	"5-ASA"	"Mesalamine"	"Mesalamine"	"47"	"D019804"	1636	1641	"chemical_entity_p"	"17975166"
"79"	"colitis-associated cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	1726	1751	"cancer_type_entity_p"	"17975166"
"80"	"Apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	0	8	"chemical_entity_p"	"26889245"
"81"	"Apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	67	75	"chemical_entity_p"	"26889245"
"82"	"flavone"	"Flavones"	"flavone"	"113"	"D047309"	109	116	"chemical_entity_e"	"26889245"
"83"	"Apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	174	182	"chemical_entity_p"	"26889245"
"84"	"apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	306	314	"chemical_entity_p"	"26889245"
"85"	"myeloperoxidase"	"myeloperoxidase"	"myeloperoxidase"	"9799"	"55806"	681	696	"gene_entity"	"26889245"
"86"	"MPO"	"mpo"	"mpo"	"9799"	"55805"	698	701	"gene_entity"	"26889245"
"87"	"tumor necrosis factor"	"tumor necrosis factor"	"tumor necrosis factor"	"17028"	"96162"	713	734	"gene_entity"	"26889245"
"88"	"TNF"	"tnf"	"tnf"	"17028"	"96161"	736	739	"gene_entity"	"26889245"
"89"	"apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	1027	1035	"chemical_entity_p"	"26889245"
"90"	"MPO"	"mpo"	"mpo"	"9799"	"55805"	1170	1173	"gene_entity"	"26889245"
"91"	"TNF-a"	"tnf-a"	"tnf-a"	"17028"	"96167"	1184	1189	"gene_entity"	"26889245"
"92"	"apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	1348	1356	"chemical_entity_p"	"26889245"
"93"	"apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	1409	1417	"chemical_entity_p"	"26889245"
"94"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	732	738	"cancer_type_entity_p"	"26938138"
"95"	"HL-60"	"Leukemia"	"hl-60"	"559"	"D007938"	751	756	"cancer_type_entity_cell"	"26938138"
"96"	"SMMC-7721"	"Liver Cancer"	"smmc-7721"	"506"	"D008113"	758	767	"cancer_type_entity_cell"	"26938138"
"97"	"A-549"	"Lung Cancer"	"a-549"	"8865"	"D008175"	769	774	"cancer_type_entity_cell"	"26938138"
"98"	"MCF-7"	"Breast Cancer"	"mcf-7"	"484"	"D001943"	776	781	"cancer_type_entity_cell"	"26938138"
"99"	"SW480"	"Colon Cancer"	"sw480"	"494"	"D003110"	787	792	"cancer_type_entity_cell"	"26938138"
"100"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	44	54	"chemical_entity_p"	"28456117"
"101"	"Flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	90	100	"chemical_entity_p"	"28456117"
"102"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	199	209	"chemical_entity_p"	"28456117"
"103"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	258	268	"chemical_entity_p"	"28456117"
"104"	"Quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	269	278	"chemical_entity_p"	"28456117"
"105"	"Kaempferol"	"Kaempferols"	"Kaempferols"	"121"	"D044949"	280	290	"chemical_entity_p"	"28456117"
"106"	"Myricetin"	"myricetin"	"myricetin"	"4519"	"C040015"	295	304	"chemical_entity_p"	"28456117"
"107"	"flavonols"	"Flavonols"	"Flavonols"	"120"	"D044948"	323	332	"chemical_entity_p"	"28456117"
"108"	"Apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	341	349	"chemical_entity_p"	"28456117"
"109"	"Luteolin"	"Luteolin"	"Luteolin"	"117"	"D047311"	354	362	"chemical_entity_p"	"28456117"
"110"	"flavone"	"Flavones"	"flavone"	"113"	"D047309"	377	384	"chemical_entity_e"	"28456117"
"111"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	439	449	"chemical_entity_p"	"28456117"
"112"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	612	622	"chemical_entity_p"	"28456117"
"113"	"Quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	670	679	"chemical_entity_p"	"28456117"
"114"	"Myricetin"	"myricetin"	"myricetin"	"4519"	"C040015"	680	689	"chemical_entity_p"	"28456117"
"115"	"Luteolin"	"Luteolin"	"Luteolin"	"117"	"D047311"	690	698	"chemical_entity_p"	"28456117"
"116"	"Kaempferol"	"Kaempferols"	"Kaempferols"	"121"	"D044949"	699	709	"chemical_entity_p"	"28456117"
"117"	"Apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	710	718	"chemical_entity_p"	"28456117"
"118"	"Quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	720	729	"chemical_entity_p"	"28456117"
"119"	"myricetin"	"myricetin"	"myricetin"	"4519"	"C040015"	749	758	"chemical_entity_p"	"28456117"
"120"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	873	883	"chemical_entity_p"	"28456117"
"121"	"EtBr"	"EDNRB"	"EDNRB"	"HGNC:3180"	"1910"	910	914	"gene_hgnc_entity"	"28456117"
"122"	"myricetin"	"myricetin"	"myricetin"	"4519"	"C040015"	945	954	"chemical_entity_p"	"28456117"
"123"	"apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	959	967	"chemical_entity_p"	"28456117"
"124"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	1016	1025	"chemical_entity_p"	"28456117"
"125"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	1072	1081	"chemical_entity_p"	"28456117"
"126"	"myricetin"	"myricetin"	"myricetin"	"4519"	"C040015"	1086	1095	"chemical_entity_p"	"28456117"
"127"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	1246	1255	"chemical_entity_p"	"28456117"
"128"	"cancerous"	"Cancers"	"Cancers"	"10007"	"D009369"	1310	1319	"cancer_type_entity_p"	"28456117"
"129"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	1337	1346	"chemical_entity_p"	"28456117"
"130"	"(-)-Epigallocatechin gallate"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	0	28	"chemical_entity_p"	"10606745"
"131"	"mos"	"mos"	"mos"	"9751"	"55533"	38	41	"gene_entity"	"10606745"
"132"	"(-)-Epigallocatechin gallate"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	113	141	"chemical_entity_p"	"10606745"
"133"	"EGCG"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	143	147	"chemical_entity_p"	"10606745"
"134"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	203	208	"cancer_type_entity_p"	"10606745"
"135"	"polyphenol"	"Polyphenols"	"Polyphenols"	"96"	"D059808"	309	319	"chemical_entity_p"	"10606745"
"136"	"Mos"	"mos"	"mos"	"9751"	"55533"	450	453	"gene_entity"	"10606745"
"137"	"p90"	"p90"	"p90"	"2228"	"12394"	537	540	"gene_entity"	"10606745"
"138"	"rsk"	"rsk"	"rsk"	"14038"	"79547"	541	544	"gene_entity"	"10606745"
"139"	"EGCG"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	639	643	"chemical_entity_p"	"10606745"
"140"	"EGCG"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	672	676	"chemical_entity_p"	"10606745"
"141"	"Mos"	"mos"	"mos"	"9751"	"55533"	764	767	"gene_entity"	"10606745"
"142"	"flavonol glycosides"	"Flavonols"	"Flavonols"	"120"	"D044948"	10	29	"chemical_entity_p"	"24679058"
"143"	"flavonol glycosides"	"Flavonols"	"Flavonols"	"120"	"D044948"	62	81	"chemical_entity_p"	"24679058"
"144"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	655	664	"chemical_entity_p"	"24679058"
"145"	"kaempferol"	"Kaempferols"	"Kaempferols"	"121"	"D044949"	669	679	"chemical_entity_p"	"24679058"
"146"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	834	839	"cancer_type_entity_p"	"24679058"
"147"	"MCF7"	"Breast Cancer"	"mcf7"	"484"	"D001943"	851	855	"cancer_type_entity_cell"	"24679058"
"148"	"HCT116"	"Colon Cancer"	"hct116"	"494"	"D003110"	857	863	"cancer_type_entity_cell"	"24679058"
"149"	"ABT-737"	"ABT-737"	"ABT-737"	"871"	"C501332"	18	25	"chemical_entity_p"	"24614082"
"150"	"small cell lung cancer"	"Small cell lung cancer"	"Small cell lung cancer"	"230101"	"D055752"	38	60	"cancer_type_entity_p"	"24614082"
"151"	"Bcl-2"	"BCL2"	"BCL2"	"HGNC:990"	"596"	106	111	"gene_hgnc_entity"	"24614082"
"152"	"small cell lung cancer"	"Small cell lung cancer"	"Small cell lung cancer"	"230101"	"D055752"	143	165	"cancer_type_entity_p"	"24614082"
"153"	"SCLC"	"Small cell lung cancer"	"Small cell lung cancer"	"230101"	"D055752"	167	171	"cancer_type_entity_p"	"24614082"
"154"	"Bcl-2"	"BCL2"	"BCL2"	"HGNC:990"	"596"	246	251	"gene_hgnc_entity"	"24614082"
"155"	"hematologic malignancies"	"Hematologic Neoplasms"	"Hematologic Neoplasms"	"558"	"D019337"	255	279	"cancer_type_entity_p"	"24614082"
"156"	"ABT-737"	"ABT-737"	"ABT-737"	"871"	"C501332"	344	351	"chemical_entity_p"	"24614082"
"157"	"solid tumors"	"Cancers"	"Cancers"	"10007"	"D009369"	395	407	"cancer_type_entity_p"	"24614082"
"158"	"SCLC"	"Small cell lung cancer"	"Small cell lung cancer"	"230101"	"D055752"	557	561	"cancer_type_entity_p"	"24614082"
"159"	"ABT-737"	"ABT-737"	"ABT-737"	"871"	"C501332"	571	578	"chemical_entity_p"	"24614082"
"160"	"ABT-737"	"ABT-737"	"ABT-737"	"871"	"C501332"	625	632	"chemical_entity_p"	"24614082"
"161"	"mTOR"	"MTOR"	"MTOR"	"HGNC:3942"	"2475"	724	728	"gene_hgnc_entity"	"24614082"
"162"	"ABT-737"	"ABT-737"	"ABT-737"	"871"	"C501332"	754	761	"chemical_entity_p"	"24614082"
"163"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	851	856	"cancer_type_entity_p"	"24614082"
"164"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	933	938	"cancer_type_entity_p"	"24614082"
"165"	"ABT-737"	"ABT-737"	"ABT-737"	"871"	"C501332"	970	977	"chemical_entity_p"	"24614082"
"166"	"SCLC"	"Small cell lung cancer"	"Small cell lung cancer"	"230101"	"D055752"	1037	1041	"cancer_type_entity_p"	"24614082"
"167"	"BAX"	"BAX"	"BAX"	"HGNC:959"	"581"	1143	1146	"gene_hgnc_entity"	"24614082"
"168"	"ABT-737"	"ABT-737"	"ABT-737"	"871"	"C501332"	1156	1163	"chemical_entity_p"	"24614082"
"169"	"BAX"	"BAX"	"BAX"	"HGNC:959"	"581"	1199	1202	"gene_hgnc_entity"	"24614082"
"170"	"ABT-737"	"ABT-737"	"ABT-737"	"871"	"C501332"	1207	1214	"chemical_entity_p"	"24614082"
"171"	"BAX"	"BAX"	"BAX"	"HGNC:959"	"581"	1251	1254	"gene_hgnc_entity"	"24614082"
"172"	"BAK"	"BAK1"	"BAK1"	"HGNC:949"	"578"	1255	1258	"gene_hgnc_entity"	"24614082"
"173"	"ABT-737"	"ABT-737"	"ABT-737"	"871"	"C501332"	1330	1337	"chemical_entity_p"	"24614082"
"174"	"SCLC"	"Small cell lung cancer"	"Small cell lung cancer"	"230101"	"D055752"	1376	1380	"cancer_type_entity_p"	"24614082"
"175"	"BAX"	"BAX"	"BAX"	"HGNC:959"	"581"	1447	1450	"gene_hgnc_entity"	"24614082"
"176"	"ABT-737"	"ABT-737"	"ABT-737"	"871"	"C501332"	1507	1514	"chemical_entity_p"	"24614082"
"177"	"SCLC"	"Small cell lung cancer"	"Small cell lung cancer"	"230101"	"D055752"	1570	1574	"cancer_type_entity_p"	"24614082"
"178"	"BHA"	"Butylated Hydroxyanisole"	"Butylated Hydroxyanisole"	"75"	"D002083"	90	93	"chemical_entity_p"	"7482539"
"179"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	190	196	"cancer_type_entity_p"	"7482539"
"180"	"tert-butylated hydroxyanisole"	"Butylated Hydroxyanisole"	"Butylated Hydroxyanisole"	"75"	"D002083"	725	754	"chemical_entity_p"	"7482539"
"181"	"gamma-glutamylcysteine synthetase"	"gamma-glutamylcysteine synthetase"	"gamma-glutamylcysteine synthetase"	"6198"	"35203"	889	922	"gene_entity"	"7482539"
"182"	"Yc1"	"yc1"	"yc1"	"13518"	"76702"	1090	1093	"gene_entity"	"7482539"
"183"	"Yb1"	"yb-1"	"yb-1"	"18361"	"103659"	1100	1103	"gene_entity"	"7482539"
"184"	"gamma-glutamylcysteine synthetase"	"gamma-glutamylcysteine synthetase"	"gamma-glutamylcysteine synthetase"	"6198"	"35203"	1215	1248	"gene_entity"	"7482539"
"185"	"Curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	0	8	"chemical_entity_p"	"27280688"
"186"	"melanoma"	"Melanoma"	"Melanoma"	"521"	"D008545"	30	38	"cancer_type_entity_p"	"27280688"
"187"	"Melanoma"	"Melanoma"	"Melanoma"	"521"	"D008545"	48	56	"cancer_type_entity_p"	"27280688"
"188"	"cancers"	"Cancers"	"Cancers"	"10007"	"D009369"	87	94	"cancer_type_entity_p"	"27280688"
"189"	"Curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	442	450	"chemical_entity_p"	"27280688"
"190"	"polyphenol"	"Polyphenols"	"Polyphenols"	"96"	"D059808"	464	474	"chemical_entity_p"	"27280688"
"191"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	660	668	"chemical_entity_p"	"27280688"
"192"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	792	800	"chemical_entity_p"	"27280688"
"193"	"melanoma initiation"	"Melanoma"	"Melanoma"	"521"	"D008545"	893	912	"cancer_type_entity_p"	"27280688"
"194"	"BCl2"	"BCL2"	"BCL2"	"HGNC:990"	"596"	936	940	"gene_hgnc_entity"	"27280688"
"195"	"p21"	"p21"	"p21"	"2806"	"15718"	949	952	"gene_entity"	"27280688"
"196"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	983	991	"chemical_entity_p"	"27280688"
"197"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	1102	1110	"chemical_entity_p"	"27280688"
"198"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	1236	1244	"chemical_entity_p"	"27280688"
"199"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	1323	1331	"chemical_entity_p"	"27280688"
"200"	"melanoma"	"Melanoma"	"Melanoma"	"521"	"D008545"	1393	1401	"cancer_type_entity_p"	"27280688"
"201"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	1403	1411	"chemical_entity_p"	"27280688"
"202"	"melanoma"	"Melanoma"	"Melanoma"	"521"	"D008545"	1444	1452	"cancer_type_entity_p"	"27280688"
"203"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	1539	1547	"chemical_entity_p"	"27280688"
"204"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	1574	1582	"chemical_entity_p"	"27280688"
"205"	"melanoma"	"Melanoma"	"Melanoma"	"521"	"D008545"	1732	1740	"cancer_type_entity_p"	"27280688"
"206"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	1752	1760	"chemical_entity_p"	"27280688"
"207"	"TNFalpha"	"TNF"	"TNF"	"HGNC:11892"	"7124"	64	72	"gene_hgnc_entity"	"12530549"
"208"	"TACE"	"ADAM17"	"ADAM17"	"HGNC:195"	"6868"	86	90	"gene_hgnc_entity"	"12530549"
"209"	"Tumor necrosis factor-alpha"	"TNF"	"TNF"	"HGNC:11892"	"7124"	116	143	"gene_hgnc_entity"	"12530549"
"210"	"TNFalpha"	"TNF"	"TNF"	"HGNC:11892"	"7124"	145	153	"gene_hgnc_entity"	"12530549"
"211"	"TNFalpha-cleaving enzyme"	"ADAM17"	"ADAM17"	"HGNC:195"	"6868"	197	221	"gene_hgnc_entity"	"12530549"
"212"	"TACE"	"ADAM17"	"ADAM17"	"HGNC:195"	"6868"	223	227	"gene_hgnc_entity"	"12530549"
"213"	"TNFalpha"	"TNF"	"TNF"	"HGNC:11892"	"7124"	332	340	"gene_hgnc_entity"	"12530549"
"214"	"TACE"	"tace"	"tace"	"256"	"1538"	355	359	"gene_entity"	"12530549"
"215"	"TACE"	"tace"	"tace"	"256"	"1538"	498	502	"gene_entity"	"12530549"
"216"	"TNFalpha"	"TNF"	"TNF"	"HGNC:11892"	"7124"	706	714	"gene_hgnc_entity"	"12530549"
"217"	"TACE"	"ADAM17"	"ADAM17"	"HGNC:195"	"6868"	788	792	"gene_hgnc_entity"	"12530549"
"218"	"TACE"	"ADAM17"	"ADAM17"	"HGNC:195"	"6868"	880	884	"gene_hgnc_entity"	"12530549"
"219"	"TNFalpha"	"TNF"	"TNF"	"HGNC:11892"	"7124"	981	989	"gene_hgnc_entity"	"12530549"
"220"	"TACE"	"ADAM17"	"ADAM17"	"HGNC:195"	"6868"	1429	1433	"gene_hgnc_entity"	"12530549"
"221"	"TNFalpha"	"TNF"	"TNF"	"HGNC:11892"	"7124"	1558	1566	"gene_hgnc_entity"	"12530549"
"222"	"TACE"	"ADAM17"	"ADAM17"	"HGNC:195"	"6868"	1623	1627	"gene_hgnc_entity"	"12530549"
"223"	"kaempferol"	"Kaempferols"	"Kaempferols"	"121"	"D044949"	20	30	"chemical_entity_p"	"16756079"
"224"	"breast cancer"	"Breast Cancer"	"Breast Cancer"	"484"	"D001943"	61	74	"cancer_type_entity_p"	"16756079"
"225"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	90	100	"chemical_entity_p"	"16756079"
"226"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	275	281	"cancer_type_entity_p"	"16756079"
"227"	"Kaempferol"	"Kaempferols"	"Kaempferols"	"121"	"D044949"	283	293	"chemical_entity_p"	"16756079"
